Neon + Tile test f32: Loop-5, M-128, P-128, N-128
Correct
  Ti   Tj   Tk   Time
   4   16    0   0.00277036 recorded
   4   16   16   0.00236788 recorded
   4   16   32   0.00231334 recorded
   4   16   48   0.00254658 recorded
   4   16   64   0.00270966 recorded
   4   16   80   0.0026848 recorded
   4   16   96   0.00271176 recorded
   4   16  112   0.00277451 recorded
   4   16  128   0.00279213 recorded
   4   32    0   0.00276972 recorded
   4   32   16   0.00216503 recorded
   4   32   32   0.00215997 recorded
   4   32   48   0.00244167 recorded
   4   32   64   0.00266364 recorded
   4   32   80   0.00263605 recorded
   4   32   96   0.00267274 recorded
   4   32  112   0.0027577 recorded
   4   32  128   0.0027832 recorded
   4   48    0   0.0027643 recorded
   4   48   16   0.00211868 recorded
   4   48   32   0.00209343 recorded
   4   48   48   0.002408 recorded
   4   48   64   0.00265247 recorded
   4   48   80   0.00261076 recorded
   4   48   96   0.00265785 recorded
   4   48  112   0.00275168 recorded
   4   48  128   0.00278872 recorded
   4   64    0   0.00277245 recorded
   4   64   16   0.00207901 recorded
   4   64   32   0.00203347 recorded
   4   64   48   0.00237452 recorded
   4   64   64   0.00262024 recorded
   4   64   80   0.00259354 recorded
   4   64   96   0.00264305 recorded
   4   64  112   0.00274322 recorded
   4   64  128   0.00278009 recorded
   4   80    0   0.00277307 recorded
   4   80   16   0.00206737 recorded
   4   80   32   0.00204089 recorded
   4   80   48   0.00237006 recorded
   4   80   64   0.00262649 recorded
   4   80   80   0.00259381 recorded
   4   80   96   0.00264008 recorded
   4   80  112   0.00274911 recorded
   4   80  128   0.00278022
   4   96    0   0.00276645 recorded
   4   96   16   0.00207228 recorded
   4   96   32   0.00203382 recorded
   4   96   48   0.0023736 recorded
   4   96   64   0.00263626 recorded
   4   96   80   0.00259464 recorded
   4   96   96   0.00264551 recorded
   4   96  112   0.00274799 recorded
   4   96  128   0.00277822
   4  112    0   0.00277738
   4  112   16   0.00206734 recorded
   4  112   32   0.00203241 recorded
   4  112   48   0.0023764 recorded
   4  112   64   0.0026267 recorded
   4  112   80   0.00259749 recorded
   4  112   96   0.00264697 recorded
   4  112  112   0.00274328
   4  112  128   0.00278061
   4  128    0   0.0027728
   4  128   16   0.00196354 recorded
   4  128   32   0.00193895 recorded
   4  128   48   0.00230804 recorded
   4  128   64   0.00259574 recorded
   4  128   80   0.00256102 recorded
   4  128   96   0.00261391 recorded
   4  128  112   0.00274403
   4  128  128   0.00277855
   8   16    0   0.00277407
   8   16   16   0.00208549 recorded
   8   16   32   0.00204437 recorded
   8   16   48   0.00238538 recorded
   8   16   64   0.00269245
   8   16   80   0.00263024 recorded
   8   16   96   0.00266385
   8   16  112   0.00277605
   8   16  128   0.00280353
   8   32    0   0.0027713
   8   32   16   0.00195608 recorded
   8   32   32   0.00197497 recorded
   8   32   48   0.00234232 recorded
   8   32   64   0.00262847
   8   32   80   0.00258656 recorded
   8   32   96   0.00264022
   8   32  112   0.00275026
   8   32  128   0.0027964
   8   48    0   0.0027709
   8   48   16   0.00196689 recorded
   8   48   32   0.0019357 recorded
   8   48   48   0.00231328 recorded
   8   48   64   0.00261605
   8   48   80   0.00256887 recorded
   8   48   96   0.00262339
   8   48  112   0.00275313
   8   48  128   0.00279892
   8   64    0   0.00276945
   8   64   16   0.00192339 recorded
   8   64   32   0.00189041 recorded
   8   64   48   0.00228955 recorded
   8   64   64   0.00259629
   8   64   80   0.00254856 recorded
   8   64   96   0.0026116
   8   64  112   0.00274468
   8   64  128   0.00278228
   8   80    0   0.00276934
   8   80   16   0.00192635 recorded
   8   80   32   0.00188558 recorded
   8   80   48   0.00228319 recorded
   8   80   64   0.00259704
   8   80   80   0.00255454
   8   80   96   0.00260695
   8   80  112   0.00274472
   8   80  128   0.00278644
   8   96    0   0.00277522
   8   96   16   0.00190602 recorded
   8   96   32   0.00189244 recorded
   8   96   48   0.00229052 recorded
   8   96   64   0.00260164
   8   96   80   0.00254848
   8   96   96   0.00261606
   8   96  112   0.00274311
   8   96  128   0.00278488
   8  112    0   0.00278182
   8  112   16   0.00191583 recorded
   8  112   32   0.00188566 recorded
   8  112   48   0.00228573 recorded
   8  112   64   0.00259608
   8  112   80   0.00255485
   8  112   96   0.00261714
   8  112  112   0.00274295
   8  112  128   0.00278763
   8  128    0   0.00277701
   8  128   16   0.00184552 recorded
   8  128   32   0.00182206 recorded
   8  128   48   0.00223686 recorded
   8  128   64   0.00256412
   8  128   80   0.00251773
   8  128   96   0.0025887
   8  128  112   0.00272643
   8  128  128   0.00277288
  12   16    0   0.00277313
  12   16   16   0.00200666 recorded
  12   16   32   0.00198249 recorded
  12   16   48   0.00234892
  12   16   64   0.00263245
  12   16   80   0.00260806
  12   16   96   0.0026563
  12   16  112   0.00277334
  12   16  128   0.00281013
  12   32    0   0.00277601
  12   32   16   0.00190946 recorded
  12   32   32   0.00190237 recorded
  12   32   48   0.00230188 recorded
  12   32   64   0.00261218
  12   32   80   0.0025677
  12   32   96   0.00262601
  12   32  112   0.00275707
  12   32  128   0.00279788
  12   48    0   0.00277149
  12   48   16   0.00188368 recorded
  12   48   32   0.0018636 recorded
  12   48   48   0.00228246 recorded
  12   48   64   0.00260972
  12   48   80   0.00255066
  12   48   96   0.00261547
  12   48  112   0.00274636
  12   48  128   0.00279303
  12   64    0   0.00277703
  12   64   16   0.00186187 recorded
  12   64   32   0.00183712 recorded
  12   64   48   0.00225492 recorded
  12   64   64   0.00257858
  12   64   80   0.0025372
  12   64   96   0.00259691
  12   64  112   0.0027422
  12   64  128   0.00278653
  12   80    0   0.0027683
  12   80   16   0.00185694 recorded
  12   80   32   0.00182975 recorded
  12   80   48   0.00225582
  12   80   64   0.00257889
  12   80   80   0.00253514
  12   80   96   0.0025997
  12   80  112   0.00274128
  12   80  128   0.00278303
  12   96    0   0.00277578
  12   96   16   0.00185542 recorded
  12   96   32   0.00183569 recorded
  12   96   48   0.00225625
  12   96   64   0.00258951
  12   96   80   0.00254041
  12   96   96   0.0026006
  12   96  112   0.00274393
  12   96  128   0.0027893
  12  112    0   0.00277676
  12  112   16   0.00185429 recorded
  12  112   32   0.00183139 recorded
  12  112   48   0.00225742
  12  112   64   0.00257883
  12  112   80   0.00253733
  12  112   96   0.00260866
  12  112  112   0.00274488
  12  112  128   0.00278497
  12  128    0   0.00277676
  12  128   16   0.00179256 recorded
  12  128   32   0.0018004 recorded
  12  128   48   0.00221228
  12  128   64   0.00255066
  12  128   80   0.00250814
  12  128   96   0.00257295
  12  128  112   0.00272189
  12  128  128   0.00277913
  16   16    0   0.0027754
  16   16   16   0.00199116 recorded
  16   16   32   0.00192664 recorded
  16   16   48   0.00232296
  16   16   64   0.00262624
  16   16   80   0.0025887
  16   16   96   0.00264947
  16   16  112   0.00278384
  16   16  128   0.00280565
  16   32    0   0.00277872
  16   32   16   0.00187469 recorded
  16   32   32   0.00186379 recorded
  16   32   48   0.0022854
  16   32   64   0.00260233
  16   32   80   0.00255608
  16   32   96   0.00261658
  16   32  112   0.00275765
  16   32  128   0.00279857
  16   48    0   0.00277684
  16   48   16   0.00184683 recorded
  16   48   32   0.00182933 recorded
  16   48   48   0.00226553
  16   48   64   0.00259306
  16   48   80   0.00254083
  16   48   96   0.00261099
  16   48  112   0.0027519
  16   48  128   0.00279042
  16   64    0   0.0027794
  16   64   16   0.00183898 recorded
  16   64   32   0.00180248 recorded
  16   64   48   0.00224176
  16   64   64   0.00257727
  16   64   80   0.00252679
  16   64   96   0.00259037
  16   64  112   0.00274224
  16   64  128   0.00278688
  16   80    0   0.00277436
  16   80   16   0.00182685 recorded
  16   80   32   0.00179842 recorded
  16   80   48   0.00224136
  16   80   64   0.00257345
  16   80   80   0.00252412
  16   80   96   0.00259427
  16   80  112   0.00274072
  16   80  128   0.00278324
  16   96    0   0.00277601
  16   96   16   0.00183196 recorded
  16   96   32   0.00180148 recorded
  16   96   48   0.00224569
  16   96   64   0.00257349
  16   96   80   0.00252985
  16   96   96   0.00259683
  16   96  112   0.00274524
  16   96  128   0.00279003
  16  112    0   0.00278413
  16  112   16   0.00182898 recorded
  16  112   32   0.00179785 recorded
  16  112   48   0.00224328
  16  112   64   0.00257152
  16  112   80   0.00252679
  16  112   96   0.00260122
  16  112  112   0.00274607
  16  112  128   0.0027848
  16  128    0   0.00277611
  16  128   16   0.00177254 recorded
  16  128   32   0.00175133 recorded
  16  128   48   0.00219901
  16  128   64   0.00254412
  16  128   80   0.00249704
  16  128   96   0.00256783
  16  128  112   0.00272161
  16  128  128   0.00277543
  20   16    0   0.00277784
  20   16   16   0.00197808
  20   16   32   0.00191293 recorded
  20   16   48   0.0023153
  20   16   64   0.00262078
  20   16   80   0.00258687
  20   16   96   0.00264512
  20   16  112   0.00278269
  20   16  128   0.00281017
  20   32    0   0.00277986
  20   32   16   0.00186658 recorded
